strike,expiration,gex_usd,gex_k
7365.0,2026-09-18,5015.72463376359,5.01572463376359
7370.0,2026-09-18,5457.705420535022,5.457705420535023
7375.0,2026-09-18,76456.40893783038,76.45640893783037
7380.0,2026-09-18,5058.895280634581,5.05889528063458
7385.0,2026-09-18,6471.941083321687,6.4719410833216875
7390.0,2026-09-18,11500.630123522576,11.500630123522576
7395.0,2026-09-18,2622.16320722759,2.62216320722759
7400.0,2026-09-18,91393.17000244676,91.39317000244675
7405.0,2026-09-18,23554.079157354558,23.554079157354558
7410.0,2026-09-18,112035.12689561334,112.03512689561335
7415.0,2026-09-18,6062.960861686499,6.0629608616864985
7420.0,2026-09-18,12791.26319733384,12.791263197333839
7425.0,2026-09-18,128730.01702862608,128.7300170286261
7430.0,2026-09-18,15499.907910904087,15.499907910904087
7435.0,2026-09-18,106943.65560568737,106.94365560568737
7440.0,2026-09-18,3917.259759444917,3.917259759444917
7445.0,2026-09-18,5757.359376460787,5.757359376460787
7450.0,2026-09-18,27619.724738910918,27.619724738910918
7455.0,2026-09-18,134081.94902492382,134.0819490249238
7460.0,2026-09-18,9127.146494933317,9.127146494933317
7465.0,2026-09-18,-2186.042970534356,-2.186042970534356
7470.0,2026-09-18,10345.77348737015,10.34577348737015
7475.0,2026-09-18,609630.5836316438,609.6305836316438
7480.0,2026-09-18,302130.3341446619,302.1303341446619
7485.0,2026-09-18,7064.772258326111,7.064772258326111
7490.0,2026-09-18,931.1704838375554,0.9311704838375554
7495.0,2026-09-18,502367.3867614542,502.3673867614542
7500.0,2026-09-18,8078449.0675064465,8078.449067506446
7505.0,2026-09-18,14498.092425938266,14.498092425938266
7510.0,2026-09-18,6357.196242820035,6.357196242820035
7515.0,2026-09-18,12234.564950988955,12.234564950988956
7520.0,2026-09-18,1108575.3916121589,1108.575391612159
7525.0,2026-09-18,1880249.150254942,1880.249150254942
7530.0,2026-09-18,2307935.1627986194,2307.9351627986193
7535.0,2026-09-18,-94103.66976601342,-94.10366976601343
7540.0,2026-09-18,-176740.13534357297,-176.74013534357297
7545.0,2026-09-18,4859519.7525427425,4859.519752542743
7550.0,2026-09-18,-4860140.969994334,-4860.140969994333
7555.0,2026-09-18,-1152000.0647993672,-1152.0000647993672
7560.0,2026-09-18,-195371.8931327666,-195.3718931327666
7565.0,2026-09-18,9012949.753950385,9012.949753950385
7570.0,2026-09-18,4565816.178973192,4565.816178973192
7575.0,2026-09-18,-2708329.3829215188,-2708.3293829215186
7580.0,2026-09-18,538416.5379175744,538.4165379175744
7585.0,2026-09-18,6240425.923619457,6240.425923619457
7590.0,2026-09-18,5092912.389129035,5092.912389129036
7595.0,2026-09-18,-38680997.704883635,-38680.99770488364
7600.0,2026-09-18,-283465288.4854219,-283465.2884854219
7605.0,2026-09-18,52257234.07648784,52257.23407648784
7610.0,2026-09-18,43169185.40256675,43169.185402566756
7615.0,2026-09-18,-5520227.090640292,-5520.227090640292
7620.0,2026-09-18,-66808684.273582414,-66808.68427358242
7625.0,2026-09-18,29502616.387249306,29502.616387249305
7630.0,2026-09-18,29017207.43917188,29017.20743917188
7635.0,2026-09-18,-12820138.989899606,-12820.138989899606
7640.0,2026-09-18,-15891661.05357489,-15891.66105357489
7645.0,2026-09-18,81740761.9741091,81740.7619741091
7650.0,2026-09-18,321170071.62748706,321170.0716274871
7655.0,2026-09-18,1124028.8480752893,1124.0288480752893
7660.0,2026-09-18,3137309.4455624446,3137.3094455624446
7665.0,2026-09-18,-7217402.864394064,-7217.402864394064
7670.0,2026-09-18,29136549.773148485,29136.549773148483
7675.0,2026-09-18,10495939.926091094,10495.939926091094
7680.0,2026-09-18,13205539.984891858,13205.539984891859
7685.0,2026-09-18,450083.3419187113,450.0833419187113
7690.0,2026-09-18,401762.4002211327,401.7624002211327
7695.0,2026-09-18,1926434.3924257425,1926.4343924257425
7700.0,2026-09-18,4391295.813825657,4391.295813825656
7705.0,2026-09-18,856387.4591234917,856.3874591234917
7710.0,2026-09-18,126510.34199170601,126.51034199170601
7715.0,2026-09-18,138353.98681145825,138.35398681145824
7720.0,2026-09-18,34988.29872826059,34.98829872826059
7725.0,2026-09-18,47703.271139925026,47.70327113992503
7730.0,2026-09-18,11678.993858793265,11.678993858793264
7735.0,2026-09-18,9262.339813518032,9.262339813518032
7740.0,2026-09-18,8504.055512094914,8.504055512094913
7745.0,2026-09-18,1042.378535102123,1.0423785351021229
7750.0,2026-09-18,6204.189010456591,6.204189010456591
7755.0,2026-09-18,1506.647561107309,1.506647561107309
7760.0,2026-09-18,1009.3933403658211,1.009393340365821
7765.0,2026-09-18,453.81293350742595,0.45381293350742596
7770.0,2026-09-18,298.90062364533753,0.29890062364533754
7775.0,2026-09-18,355.1848263535919,0.35518482635359194
7780.0,2026-09-18,131.8953703874295,0.1318953703874295
7785.0,2026-09-18,116.505833875052,0.116505833875052
7790.0,2026-09-18,59.79562928679532,0.05979562928679532
7795.0,2026-09-18,36.87650661262712,0.03687650661262712
7800.0,2026-09-18,270.0298181904606,0.2700298181904606
7805.0,2026-09-18,21.070435060476534,0.021070435060476535
7810.0,2026-09-18,20.834298015215996,0.020834298015215996
7815.0,2026-09-18,26.928607344917687,0.02692860734491769
