code,name,price,pct,pos,k,j,score,action,stop,risk,amount,tags
000785,居然智家,2.97,-3.57,0.05,25.7,-12.6,8,捡漏观察池A,2.79,6.1,300700646.96,近一年低位区(pos=0.05)；KDJ低位K26J-13；横盘收窄(12%)；量能温和(vol比0.9)；回踩均线；止损约6.1%
002127,南极电商,3.46,-2.49,0.04,26.7,-4.6,8,捡漏观察池A,3.22,6.9,207198461.48,近一年低位区(pos=0.04)；KDJ低位K27J-5；横盘收窄(10%)；量能温和(vol比1.0)；回踩均线；止损约6.9%
000816,智慧农业,3.06,-3.77,0.13,26.9,-12.5,8,捡漏观察池A,2.88,5.9,174156726.0,近一年低位区(pos=0.13)；KDJ低位K27J-12；横盘收窄(11%)；量能温和(vol比1.1)；回踩均线；止损约5.9%
002958,青农商行,3.05,0.32,0.33,21.2,24.3,8,捡漏观察池A,2.85,6.5,171783687.85,近一年低位区(pos=0.33)；KDJ低位K21J24；KDJ拐头；横盘收窄(8%)；量能温和(vol比1.0)；止损约6.5%
002076,星光股份,1.83,-3.17,0.09,21.8,1.1,8,捡漏观察池A,1.71,6.6,92879892.7,近一年低位区(pos=0.09)；KDJ低位K22J1；横盘收窄(8%)；量能温和(vol比1.4)；回踩均线；止损约6.6%
002390,信邦制药,3.36,-1.43,0.16,24.0,3.6,8,捡漏观察池A,3.13,6.7,90421940.1,近一年低位区(pos=0.16)；KDJ低位K24J4；横盘收窄(8%)；量能温和(vol比0.9)；回踩均线；止损约6.7%
000523,红棉股份,3.19,-2.74,0.26,23.8,-7.7,8,捡漏观察池A,2.99,6.3,87179434.14,近一年低位区(pos=0.26)；KDJ低位K24J-8；横盘收窄(9%)；量能温和(vol比1.0)；回踩均线；止损约6.3%
000882,华联股份,2.04,-5.12,0.2,28.8,-10.7,7,捡漏观察池A,1.88,7.8,316638049.84,近一年低位区(pos=0.20)；KDJ低位K29J-11；横盘收窄(18%)；回踩均线；止损约7.8%
002482,广田集团,1.81,-3.21,0.43,31.1,-6.8,7,捡漏观察池A,1.64,9.4,188810188.7,中低位(pos=0.43)；KDJ低位K31J-7；横盘收窄(13%)；量能温和(vol比1.1)；回踩均线；止损约9.4%
002124,天邦食品,2.97,-1.0,0.31,19.9,-8.7,7,捡漏观察池A,2.78,6.4,170800000.61,近一年低位区(pos=0.31)；KDJ低位K20J-9；横盘收窄(8%)；回踩均线；止损约6.4%
000659,珠海中富,2.82,-4.08,0.22,27.0,-5.1,7,捡漏观察池A,2.49,11.7,159936721.0,近一年低位区(pos=0.22)；KDJ低位K27J-5；量能温和(vol比0.8)；回踩均线；止损约11.7%
002218,拓日新能,3.47,-2.8,0.32,23.4,-12.4,7,捡漏观察池A,3.23,6.9,151029214.9,近一年低位区(pos=0.32)；KDJ低位K23J-12；横盘收窄(14%)；回踩均线；止损约6.9%
002086,东方海洋,2.6,-2.62,0.17,26.5,-2.4,7,捡漏观察池A,2.43,6.5,138452870.56,近一年低位区(pos=0.17)；KDJ低位K26J-2；横盘收窄(10%)；量能温和(vol比0.9)；止损约6.5%
000767,晋控电力,2.92,-2.01,0.45,31.4,-0.8,7,捡漏观察池A,2.72,6.8,121066504.97,中低位(pos=0.45)；KDJ低位K31J-1；横盘收窄(8%)；量能温和(vol比0.9)；回踩均线；止损约6.8%
002607,中公教育,2.85,-3.06,0.05,38.0,13.2,6,捡漏观察池A,2.66,6.7,817991864.0,近一年低位区(pos=0.05)；横盘收窄(8%)；量能温和(vol比1.1)；回踩均线；止损约6.7%
000560,我爱我家,2.95,-4.22,0.18,37.9,2.6,6,捡漏观察池A,2.76,6.4,535212374.61,近一年低位区(pos=0.18)；横盘收窄(11%)；量能温和(vol比1.3)；回踩均线；止损约6.4%
002445,中南文化,2.69,-1.82,0.66,33.9,-2.3,6,捡漏观察池A,2.38,11.5,361905760.02,KDJ低位K34J-2；横盘收窄(16%)；量能温和(vol比0.9)；回踩均线；止损约11.5%
000563,陕国投A,3.47,-1.93,0.56,28.8,-0.1,6,捡漏观察池A,3.25,6.2,328225102.94,KDJ低位K29J-0；横盘收窄(10%)；量能温和(vol比0.9)；回踩均线；止损约6.2%
002506,协鑫集成,2.51,-1.95,0.49,23.3,1.0,6,捡漏观察池A,2.33,7.2,324421462.5,中低位(pos=0.49)；KDJ低位K23J1；横盘收窄(12%)；回踩均线；止损约7.2%
000629,钒钛股份,2.82,-1.74,0.61,33.2,1.4,6,捡漏观察池A,2.56,9.2,314894897.65,KDJ低位K33J1；横盘收窄(9%)；量能温和(vol比0.8)；回踩均线；止损约9.2%
002437,誉衡药业,3.2,-5.33,0.51,27.6,-1.7,6,捡漏观察池A,3.0,6.3,271896382.13,中低位(pos=0.51)；KDJ低位K28J-2；横盘收窄(11%)；回踩均线；止损约6.3%
002936,郑州银行,2.02,0.0,0.52,29.5,3.9,6,捡漏观察池A,1.9,5.9,260789916.46,中低位(pos=0.52)；KDJ低位K30J4；横盘收窄(4%)；量能温和(vol比0.9)；止损约5.9%
002314,南山控股,2.82,-5.05,0.51,29.6,-5.1,6,捡漏观察池A,2.61,7.4,199252436.08,中低位(pos=0.51)；KDJ低位K30J-5；横盘收窄(16%)；回踩均线；止损约7.4%
000839,国安股份,2.73,-3.87,0.37,34.9,11.8,6,捡漏观察池A,2.55,6.6,198073615.5,中低位(pos=0.37)；KDJ低位K35J12；横盘收窄(12%)；回踩均线；止损约6.6%
000898,鞍钢股份,2.53,-3.8,0.48,33.7,12.6,6,捡漏观察池A,2.38,5.9,151551755.26,中低位(pos=0.48)；KDJ低位K34J13；横盘收窄(7%)；量能温和(vol比1.2)；止损约5.9%
000797,中国武夷,2.71,-4.91,0.23,46.0,10.1,6,捡漏观察池A,2.52,7.0,140340235.0,近一年低位区(pos=0.23)；横盘收窄(11%)；量能温和(vol比1.5)；回踩均线；止损约7.0%
002652,扬子新材,3.45,-3.09,0.6,33.7,6.4,6,捡漏观察池A,3.14,9.0,88215660.98,KDJ低位K34J6；横盘收窄(11%)；量能温和(vol比1.4)；回踩均线；止损约9.0%
000889,中嘉博创,3.3,-2.37,0.5,22.8,14.3,6,捡漏观察池A,3.05,7.6,87980574.42,中低位(pos=0.50)；KDJ低位K23J14；横盘收窄(13%)；量能温和(vol比1.0)；止损约7.6%
000428,华天酒店,3.47,-10.1,0.44,31.7,4.1,5,捡漏观察池B,3.3,4.9,352987626.17,中低位(pos=0.44)；KDJ低位K32J4；回踩均线；止损约4.9%
002157,正邦科技,3.0,-0.33,0.61,28.8,0.0,5,捡漏观察池B,2.75,8.3,349826561.37,KDJ低位K29J0；横盘收窄(9%)；回踩均线；止损约8.3%
002219,新里程,2.22,-5.13,0.18,43.7,15.2,5,捡漏观察池B,2.0,9.9,279874055.31,近一年低位区(pos=0.18)；横盘收窄(15%)；回踩均线；止损约9.9%
000008,神州高铁,2.82,-1.4,0.53,42.3,13.4,5,捡漏观察池B,2.62,7.1,210138023.06,中低位(pos=0.53)；横盘收窄(8%)；量能温和(vol比1.2)；回踩均线；止损约7.1%
000897,津滨发展,2.25,-3.85,0.48,40.0,5.1,5,捡漏观察池B,2.09,7.1,189641048.2,中低位(pos=0.48)；横盘收窄(11%)；量能温和(vol比1.4)；回踩均线；止损约7.1%
000926,福星股份,2.61,-4.04,0.4,15.0,-13.6,5,捡漏观察池B,2.44,6.5,189618648.86,中低位(pos=0.40)；KDJ低位K15J-14；回踩均线；止损约6.5%
002470,金正大,1.74,-3.33,0.42,38.0,-3.5,5,捡漏观察池B,1.6,8.0,174949222.0,中低位(pos=0.42)；横盘收窄(13%)；量能温和(vol比0.9)；回踩均线；止损约8.0%
000545,金浦钛业,3.15,-4.83,0.69,24.9,-9.2,5,捡漏观察池B,2.85,9.5,150727396.15,KDJ低位K25J-9；量能温和(vol比0.8)；回踩均线；止损约9.5%
000751,锌业股份,3.42,-2.28,0.65,21.9,-8.7,5,捡漏观察池B,3.18,7.1,136131147.38,KDJ低位K22J-9；横盘收窄(13%)；回踩均线；止损约7.1%
000717,中南股份,2.7,-3.91,0.46,35.7,-0.8,5,捡漏观察池B,2.52,6.7,133746599.04,中低位(pos=0.46)；横盘收窄(11%)；量能温和(vol比1.0)；回踩均线；止损约6.7%
002589,瑞康医药,2.83,-2.41,0.17,35.3,-1.2,5,捡漏观察池B,2.65,6.4,111236023.0,近一年低位区(pos=0.17)；横盘收窄(8%)；量能温和(vol比1.1)；止损约6.4%
002374,中锐股份,2.81,-3.1,0.64,33.7,4.7,5,捡漏观察池B,2.48,11.7,97008749.0,KDJ低位K34J5；横盘收窄(17%)；回踩均线；止损约11.7%
000564,供销大集,2.63,-3.66,0.52,31.3,-4.6,4,捡漏观察池B,2.21,16.0,1748762119.51,中低位(pos=0.52)；KDJ低位K31J-5；回踩均线
000709,河钢股份,2.35,-3.23,0.73,48.8,18.0,4,捡漏观察池B,2.14,9.1,256632404.56,横盘收窄(8%)；量能温和(vol比0.9)；回踩均线；止损约9.1%
000620,盈新发展,1.65,-5.17,0.29,37.3,0.6,4,捡漏观察池B,1.49,9.7,249890316.0,近一年低位区(pos=0.29)；回踩均线；止损约9.7%
000402,金融街,2.99,-5.08,0.54,35.8,1.6,4,捡漏观察池B,2.74,8.4,192283338.76,中低位(pos=0.54)；横盘收窄(15%)；回踩均线；止损约8.4%
000927,中国铁物,2.63,-2.2,0.7,42.0,12.9,4,捡漏观察池B,2.46,6.3,186738534.0,横盘收窄(7%)；量能温和(vol比1.1)；回踩均线；止损约6.3%
002285,世联行,2.4,-5.88,0.47,44.1,8.5,4,捡漏观察池B,2.19,8.8,168714178.68,中低位(pos=0.47)；横盘收窄(15%)；回踩均线；止损约8.8%
000517,荣安地产,2.01,-5.63,0.48,43.1,5.2,4,捡漏观察池B,1.79,10.9,91322375.23,中低位(pos=0.48)；横盘收窄(17%)；回踩均线；止损约10.9%
002133,广宇集团,3.33,-3.7,0.74,38.5,4.2,4,捡漏观察池B,2.99,10.3,87721871.73,横盘收窄(14%)；量能温和(vol比0.9)；回踩均线；止损约10.3%
002269,美邦服饰,2.52,-3.82,0.64,31.0,-6.4,3,观望,1.82,27.8,615742005.74,KDJ低位K31J-6；回踩均线
000718,苏宁环球,2.59,-3.68,0.43,36.5,-6.8,3,观望,2.05,20.8,563135218.25,中低位(pos=0.43)；量能温和(vol比1.2)；回踩均线
000592,平潭发展,3.32,-2.64,0.51,43.7,30.1,3,观望,3.06,7.8,380226978.2,中低位(pos=0.51)；回踩均线；止损约7.8%
002247,聚力文化,2.67,-5.65,0.64,41.0,1.3,3,观望,2.47,7.5,134857431.0,横盘收窄(12%)；回踩均线；止损约7.5%
002081,金螳螂,3.4,-1.42,0.61,42.2,13.2,3,观望,3.15,7.3,128535228.0,横盘收窄(7%)；量能温和(vol比1.1)；止损约7.3%
000552,甘肃能化,2.54,-0.78,0.7,65.6,54.3,3,观望,2.29,9.8,127670654.72,横盘收窄(6%)；量能温和(vol比1.1)；止损约9.8%
000031,大悦城,3.15,-5.12,0.71,46.1,13.0,3,观望,2.92,7.3,92616152.59,横盘收窄(11%)；回踩均线；止损约7.3%
002239,奥特佳,3.43,-4.18,0.85,63.1,54.2,2,观望,2.77,19.1,1543222317.76,横盘收窄(17%)；量能温和(vol比2.0)
000727,冠捷科技,2.95,-3.91,0.79,73.2,80.5,2,观望,2.39,19.0,1253385628.56,横盘收窄(18%)；量能温和(vol比2.1)
002146,荣盛发展,1.65,-3.51,0.41,40.9,5.1,2,观望,1.34,18.8,532448405.12,中低位(pos=0.41)；量能温和(vol比0.9)
002638,勤上股份,2.64,-2.22,0.93,67.8,64.0,2,观望,2.22,15.9,353555684.95,横盘收窄(12%)；量能温和(vol比2.4)
002310,东方新能,2.42,-2.02,0.7,38.3,13.5,2,观望,2.15,11.2,215470788.32,回踩均线；止损约11.2%
