ticker,name,px,chg,ma20,j,l1,l2,l3,stop,w,note
MU,美光,1072.5,0.06,986.4,98.9,1056.41,1029.6,986.4,857.47,主题内8-12%总资金,多头；KDJ高不追；今日不追
SNDK,闪迪/SanDisk,1763.86,-2.9,1649.66,81.1,1737.4,1693.31,1649.66,1428.99,主题内8-12%总资金,多头
WDC,西部数据,459.15,-3.07,450.69,98.9,452.27,440.79,431.61,386.76,主题内3-6%,中期偏弱；KDJ高不追；今日不追
LITE,Lumentum,927.61,-1.0,912.35,65.2,913.7,890.51,871.95,790.5,主题内6-10%,多头
COHR,Coherent,295.5,-1.7,290.61,49.0,291.07,283.68,277.77,252.22,主题内6-10%,中期偏弱
MRVL,迈威尔,259.21,-0.65,231.88,97.6,255.32,248.84,231.88,202.95,主题内3-6%,多头；KDJ高不追；今日不追
AVGO,博通,350.24,-1.34,358.44,66.0,344.99,336.23,329.23,318.44,主题内3-6%,中期偏弱
GLW,康宁(光纤),155.08,0.39,153.07,69.8,152.75,148.87,145.77,135.23,主题内3-6%,中期偏弱
CIEN,Ciena,360.48,1.28,352.57,84.7,355.07,346.06,338.85,302.51,主题内3-6%,中期偏弱
AAOI,Applied Opto,101.64,0.57,103.86,57.7,100.12,97.57,95.54,89.3,主题内3-6%,中期偏弱
300502.SZ,新易盛,,,,77.9,,,,373.83,主题内6-10%,震荡
300308.SZ,中际旭创,,,,60.9,,,,815.1,主题内6-10%,震荡
300394.SZ,天孚通信,,,,66.2,,,,235.73,主题内3-6%,震荡
601869.SS,长飞光纤,,,,51.7,,,,406.6,主题内3-6%,震荡
300620.SZ,光库科技,,,,45.1,,,,262.57,主题内3-6%,震荡
002281.SZ,光迅科技,,,,77.4,,,,159.21,主题内3-6%,震荡
